title,url,clean_content,timestamp
European Research Council Synergy Grants: 13 projects for France | Campus France,"https://www.campusfrance.org/en/actu/programme-synergy-2024-du-conseil-europeen-de-la-recherche#:~:text=The%20grants%20awarded%20by%20the,scientific%20problems%2C%20covering%20a%20wide",european research council erc released list laureate team synergy grant call project part horizon europe programme research innovation erc selected project involving researcher working country totalling million euro among project designed foster high level scientific collaboration france including researcher cnrs erc created european union first european entity funding cutting edge research council fund creative researcher nationality age carry project across europe erc offer four major funding programme starting grand consolidator grant advanced grant synergy grant latter erc synergy grant foster collaboration outstanding researcher enabling combine expertise knowledge resource push boundary scientific discovery fifty seven research group work receive total million address complex scientific problem covering wide range discipline erc synergy porgramme without doubt international programme since help open top european research best scientific talent globally creating synergy international applicant submitted proposal call erc explains winning project involve researcher carry project university research centre country across europe beyond precisely germany project france spain netherlands hosting highest number project six additional project involve researcher based czechia project greece hungary poland portugal country far hosted fewer erc grant nearly researcher part winning project woman highest proportion since scheme began according erc mark notable increase compared previous year grant awarded european union last six year worth maximum million possibility additional funding designed enable group two four scientist european member associate country address complex scientific problem covering wide range discipline france french researcher involved winning project ten conducting research cnrs others based teaching research organisation namely cnrs declared level number project selected behalf organisation highest since type call launched french agency promotion higher education international student service international mobility campus france,2024-11-16 20:59:45.462954
How to get funding under the Digital Europe programme | Shaping Europe’s digital future,https://digital-strategy.ec.europa.eu/en/activities/get-funding-digital,site us cooky visit cooky policy page click link footer information change preference learn application process digital europe programme disclaimer webpage brief overview date information please visit funding tender portal funding tender opportunity web page give overview topic digital europe programme webpage browse call proposal call forthcoming already open call call document giving precise information issue european commission would like address proposal funding tender portal host service managing proposal project throughout lifecycle wish respond call must submit proposal brussels time day indicated call deadline please note deadline specific time strict must respected strongly advise submit proposal ahead time wait last moment proposal must submitted online need help identify potential partner particular competence facility experience use partner search option deadline passed proposal evaluated based criterion published work programme result list ranked proposal published independent expert specialised relevant field may involved evaluation evaluation applicant informed outcome european commission draw grant agreement successful participant within limit allocated budget grant agreement describes activity undertaken line objective call project duration budget rate cost also detail contribution right obligation specificity linked topic time frame signing grant agreement month closure call want know see participate follow latest progress learn getting involved first seven proposal artificial intelligence factory submitted eurohpc joint undertaking manages call announced september european cybersecurity competence centre eccc inaugurated permanent premise bucharest romania week commission launched call setting factory boost european leadership trustworthy artificial intelligence european digital innovation hub edihs launched digital maturity assessment tool help smes identify strength weakness digital transformation business digital europe programme digital funding programme focused bringing digital technology business citizen public administration digital europe programme dashboard display data programme grant user friendly interface numerous filter option investment benefit research technology development nextgen internet two dimensional material big data international cooperation investment benefit research technology development artificial intelligence data robotics photonics semiconductor quantum technology extended reality investment benefit project relating artificial intelligence robotics new material earchiving initiative provides core specification software training knowledge help people store information longer work programme detail objective scope outcome deliverable budget allocation topic find relevant document update post adoption european commission make place excellence thrives lab market european union setting world class testing experimentation facility tefs european digital innovation hub edihs one stop shop supporting company public sector organisation respond digital challenge become competitive find answer question digital europe programme october,2024-11-16 21:00:00.360345
EU Grants and Funding Portal - EU Grants for Small Businesses,https://eufundingportal.eu/,call application high growth industrial startup innovative solution address pressing challenge manufacturing sector participate business development programme call application tourism smes european rural remote area participate training capacity building program order develop sustainability innovative practice strategy providing tool skill strengthen competitiveness post covid scenario call application young european business professional participate business development programme order expand network gain perspective engage business sector exchange innovative idea best practice call proposal early stage profit technology start ups develop open source frontier technology solution potential create radical change child call proposal principal investigator whose proposal draw substantially erc funded research receive proof concept grant order facilitate exploration commercial social innovation potential erc funded research financial contribution awarded lump sum eur period month call nomination individual non governmental organisation social enterprise community group developed implemented project strong social impact receive ceb award social cohesion amount prize eur call application civil society organisation non governmental organisation ngo university think tank youth organisation medium organisation research body support project directly contributing societal resilience call expression interest profit non profit organisation offering service field digitalization green transition service support internationalization call application smes offering water smart solution especially agrifood energy intensive industry boost development growth via internationalisation activity towards north america canada usa smes apply maximum total call application smes implement highly innovative solution penetrate key market attract critical mass partner via three financial instrument applicant apply one training grant worth funding portal searchable database grant snd funding opportunity small business available database contains innovation business development grant acceleration programme,2024-11-16 21:20:11.878053
Calls for Proposals and Tenders,https://webgate.ec.europa.eu/online-services/,,2024-11-16 21:20:22.453476
Startup funding - EU Grants,https://eufundingportal.eu/tag/startup-funding/,grant funding startup grant funding opportunity call application high growth industrial startup innovative solution address pressing challenge manufacturing sector participate business development programme call application growing innovative healthcare start ups working solution successfully closed priced equity funding round foster advancement improve care also promote long term sustainability within european healthcare system call offer funding per project call application young entrepreneur age participate business development challenge overall winner receive grant help accelerate business idea start call application startup using innovate responsibly cybersecurity market participate hybrid business development program order receive essential growth skill internationalization strategy google tool product help scale call application healthcare startup spin offs smes hospital university well academic research institution participate month mentorship programme order help bring groundbreaking solution market call application early stage water startup participate accelerator programme order develop solution commercialize technology enter new market call proposal startup operating field urban mobility receive funding continue critical innovation ultimately transform european urban mobility landscape million euro per company granted mobility venture call application startup smes small mid cap highrisk high impact innovative technology product service business model participate business development programme receive funding form grant equity investment mentoring networking opportunity applicant may receive funding eur million call application smes start ups scale ups participate business development programme order market new food product process development highly improved nutritional sustainable level call application start ups spin offs smes owning developing innovative biobased technology aim commercialization order facilitate rapid market introduction biobased innovation entity may receive financial support amount funding portal searchable database grant snd funding opportunity small business available database contains innovation business development grant acceleration programme,2024-11-16 21:20:29.897363
EUFUNDINGMAG – eufunding online blog,https://www.eufundingmag.eu/,funding news article new article one place want read article ahead subscribe receive online magazine month funding grant proposal cef horizon sustainability green green deal sme transport tender opportunity innovation start call cef life mobility energy research innovation regional development environment patent grant writing funding application funding consultancy article nov incoming european commissioner responsible public funding commissioner relevancy funding article summarise impactful commissioner view funding expressed hearing took place nov trump election mean second trump presidency expected influence policy consequently budget priority area like energy mobility defence let see trade trump promised impose tariff oct grant agreement signed project safe secure truck parking areasthe european union making significant stride improving transport infrastructure record breaking billion invested connecting europe facility cef oct european defence security conferenceon october annual european defence security conference took place brussels variety panel touched upon financing related topic public private equally relevant reason oct update recovery resilience facility rrf third annual report recovery resilience facility rrf published funding instrument billion grant loan help speeding fostering continuous reform oct european commission invests million next four year support fast secure digital connectivity networksthe investment part second work programme digital component connecting europe facility cef digital oct european city facility call applicationsopening date october deadline date december european city facility eucf provides funding grouping municipality local authority local public entity aggregating oct funded project soil restorationa series funded project goal restoring soil health across europe receive collective investment project contribute european green deal objective oct new transport funding call outthe connecting europe facility cef transport call make billion funding available transport infrastructure project ukraine moldova cef funding railway inland waterway sep cef transport alternative fuel infrastructure facility afif second deadlineon june second three deadline current cef transport alternative fuel infrastructure facility afif set application project proposal open first sep funding development field defence securityas new european commission prepares take office escalating global tension dominate political agenda despite billion euro european defence fund edf allocated bolster european sep know mario draghi competitiveness reporton september mario draghi released report titled future european competitiveness page draghi warns persistent slow growth threatens european prosperity social welfare sep pre announcement upcoming cef transport callwe would like inform interested reader new call project application connecting europe facility cef transport call expected open end september deadline submission sep info day towards networked local digital twin euon september info day funding topic toward networked local digital twin take place objective call topic assisting development citiverse digital sep europeanmobilityweek promoting sustainable urban mobilityeuropeanmobilityweek european commission flagship awareness raising campaign dedicated promoting sustainable urban mobility year september city town across europe come aug million critical raw materialsinvesteu channelling investment securing critical raw material needed deliver green digital transition creating job future requires massive investment european union aug embrace summer surge ultimate guide funding tourismas summer break approach tourist flight beautiful destination within better time seize opportunity tourism project matter jul countering inflation reduction actthe inflation reduction act ira usa came force last august became controversial leader noted subsidises made america sustainable product component thus harming fair competition since aug three episode webinar series blue green infrastructure resilient city october interreg policy learning platform hosting first episode webinar series blue green infrastructure resilient city first episode introduces aug europe invests safer truck parking green transport million awarded new funding call coming september european commission announced result connecting europe facility cef call project proposal highlighting significant aug advancing europe defence sector innovation competitiveness resilience focusin euco summit june european council recalled need strengthen technological industrial base european defence sector make jul look carbon capturethe european union always looking support development new technology practice help bring europe closer goal carbon neutrality sustainability part several broader environmental initiative aug cef digital community eventthe cef digital community event take place october brussels learn project funded cef digital programme player segment connectivity value chain take opportunity jul european defence fund leap towards enhanced security innovationon june call proposal european defence fund edf opened edf purpose strengthening european defence industry positively impacting aug embracing sustainable future commits sustainable mobility ten networkrevolutionizing trans european transport network connecting europe facility cef power ahead investing remarkable eur billion financial support jan innovation fund programme contributing greenhouse gas ghg reductionsucceeding ner programme innovation fund improves risk sharing project giving funding flexible way simpler selection process also info eufundinghub subscribe newsletter right reserved eufundinghub privacy term condition cookie policy follow,2024-11-16 21:20:38.928859
Travel grants for brokerage events - NCP_WIDERA.NET,https://www.ncpwideranet.eu/travel-grants/,ncp_widera net project partner launched travel grant programme support participation applicant widening country pillar cluster european partnership brokerage event organised site aim establish working contact coordinator looking new partner increase uptake horizon europe proposal submission receive eur cover cost travel accommodation matchmaking event click non exhaustive list eligible event project partner following country implemented programme albania armenia bulgaria croatia cyprus information greek information english pdf czechia estonia georgia download call announcement national rule form georgian applicant zip greece hungary latvia lithuania romania serbia slovakia spain canary island tunisia türkiye keep checking page update country follow question hesitate contact team widera ncbr gov main aim ncp_widera net project facilitate transnational cooperation national contact point ncps widening participation strengthening european research area widera horizon europe programme national centre research development ncbr address chmielna warsaw poland email widera ncbr gov web horizon europe ncp portal,2024-11-16 21:20:56.575372
Journalismfund Europe Grants Application Platform,https://grants.journalismfund.eu/en,journalismfund europe flexible grant programme enable journalist medium independently produce relevant public interest story european mind set international national regional perspective need resource cross border investigative story choose grant next deadline november cet pascal decroos fund investigative journalism journalismfund first oldest grant programme promote investigative journalism dutch language medium belgium since next deadline november cet project journalismfund europe want stimulate cross border local investigation belgian dutch journalist next deadline december cet grant mentoring programme part ongoing plupro project aim empower local independent medium outlet next deadline january cet since grant programme support cross border team professional journalist independent news outlet good idea cross border investigation research european topic next deadline january cet grant programme support local cross border team professional journalist news outlet bring local european level well local citizen europe next deadline january cet grant programme support cross border team professional journalist news outlet conduct investigation environmental affair related europe next deadline february cet programme open organisation project proposal collective development support service environmental journalism next deadline february cet medium pluralism fund allocate financial support local regional outlet community medium investigative journalism public interest news organisation operate news desert area experiencing strained medium pluralism next deadline march cet sojo europe looking european newsroom collaborate train mentor solution journalism climate focus combining investigative solution journalism next deadline tbc fpd science project journalismfund europe want stimulate depth science journalism dutch language medium belgium online application portal journalismfund europe vzw pascal decroos fund environmental investigation grant european cross border grant european local cross border grant cooky pre application advice find teammate jury general grant rule privacy data protection scholarship grantee,2024-11-16 21:21:04.381508
Narrative and financial reports of EU Grants: a day of practical insights | Virtual Classroom,https://academy.puntosud.org/courses/virtual-classroom/narrative-and-financial-reports-of-eu-grants-a-day-of-practical-insights/2024-11-18,virtual classroom day session training course strengthen participant capacity prepare interim final narrative financial report following grant contract rule good practice course description unlock intricacy grant reporting intensive half day course designed empower participant essential skill proper reporting intpa near funded project program investigates key aspect including vital requirement deadline proactive measure effective reporting participant gain familiarity standard template crafting narrative financial report learning proficiently collect essential project information implementation enrich understanding insight tip shared puntosud expert fellow participant ensuring preparation accurate narrative financial report learning objective end virtual classroom course able euro excluding vat added due select date enrolment max min online platform puntosud academy learning platform time cet cest booking deadline booking close discount multiple booking detail bank transfer credit card paypal certificate program save money buy course certificate program mastering winning proposal grant management community buy course get free access grant learning hub skill level beginner intermediate face face classroom day face face training provide specific practical overview rule procedure applicable grant contract signed prag virtual classroom day session training course designed strengthen participant skill capacity financial management grant virtual classroom day session training course strengthen participant capacity set properly manage effective monitoring system tool funded project puntosud academy trademark property puntosud fiscal code vat number iban itqx registered charity company registration ministry foreign affair international cooperation registration address via angera milan italy phone mail support academy puntosud org contact puntosud academy news newsletter faq contact customer care term condition cookie privacy policy mean payment copyright puntosud right reserved,2024-11-16 21:21:20.611948
EU Funding & Tenders Portal,https://ec.europa.eu/info/funding-tenders/opportunities/portal/,site us cooky visit cooky policy page click link footer information change preference,2024-11-17 15:46:18.883667
